season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2014,22.0,PHI,NBA,PG,70.0,70.0,34.5,6.1,15.1,0.405,0.8,3.0,0.264,5.3,12.1,0.44,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,16.7,/players/c/cartemi01.html,Michael Carter-Williams
2015,23.0,PHI,NBA,PG,41.0,38.0,33.9,5.7,14.9,0.38,0.8,3.0,0.256,4.9,11.9,0.41200000000000003,0.406,2.9,4.4,0.643,1.0,5.1,6.2,7.4,1.5,0.4,4.2,2.5,15.0,/players/c/cartemi01.html,Michael Carter-Williams
2015,23.0,MIL,NBA,PG,25.0,25.0,30.3,5.3,12.3,0.429,0.2,1.1,0.14300000000000002,5.1,11.2,0.457,0.435,3.4,4.4,0.78,0.8,3.1,4.0,5.6,2.0,0.5,3.2,2.6,14.1,/players/c/cartemi01.html,Michael Carter-Williams
2016,24.0,MIL,NBA,PG,54.0,37.0,30.5,4.6,10.3,0.452,0.3,1.0,0.273,4.4,9.3,0.47200000000000003,0.466,2.0,3.0,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3.0,11.5,/players/c/cartemi01.html,Michael Carter-Williams
2017,25.0,CHI,NBA,PG,45.0,19.0,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,/players/c/cartemi01.html,Michael Carter-Williams
2018,26.0,CHO,NBA,PG,52.0,2.0,16.1,1.5,4.4,0.332,0.3,1.1,0.237,1.2,3.3,0.365,0.36200000000000004,1.4,1.7,0.82,0.7,1.9,2.7,2.2,0.8,0.4,1.0,1.9,4.6,/players/c/cartemi01.html,Michael Carter-Williams
2019,27.0,HOU,NBA,PG,16.0,1.0,9.1,1.6,3.8,0.41,0.4,1.2,0.368,1.1,2.6,0.429,0.467,0.8,1.6,0.462,0.2,0.6,0.8,1.3,0.6,0.4,0.6,1.7,4.3,/players/c/cartemi01.html,Michael Carter-Williams
2019,27.0,ORL,NBA,PG,12.0,0.0,18.9,1.8,5.2,0.33899999999999997,0.3,1.6,0.158,1.5,3.6,0.419,0.363,1.7,2.3,0.741,1.3,3.4,4.8,4.1,0.9,0.8,0.8,1.8,5.4,/players/c/cartemi01.html,Michael Carter-Williams
2020,28.0,ORL,NBA,SG,45.0,0.0,18.5,2.5,5.8,0.42700000000000005,0.5,1.7,0.293,2.0,4.1,0.48100000000000004,0.469,1.8,2.1,0.8320000000000001,1.0,2.2,3.3,2.4,1.1,0.5,1.2,1.9,7.2,/players/c/cartemi01.html,Michael Carter-Williams
2021,29.0,ORL,NBA,SG,31.0,25.0,25.8,3.4,8.7,0.389,0.5,2.0,0.24600000000000002,2.9,6.7,0.431,0.41700000000000004,1.6,2.6,0.613,1.3,3.2,4.5,4.2,0.8,0.5,2.2,2.6,8.8,/players/c/cartemi01.html,Michael Carter-Williams
