season,age,team_abbr,lg,pos,g,gs,mp,fg,fga,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,bbref_endpoint,player_name
2004,22.0,SEA,NBA,PG,69.0,6.0,16.1,2.1,5.1,0.414,0.4,1.2,0.33799999999999997,1.7,3.9,0.43700000000000006,0.45299999999999996,0.9,1.1,0.823,0.5,1.1,1.6,2.4,0.8,0.1,1.2,1.5,5.5,/players/r/ridnolu01.html,Luke Ridnour
2005,23.0,SEA,NBA,PG,82.0,82.0,31.4,3.6,9.0,0.405,0.8,2.2,0.376,2.8,6.8,0.414,0.45,1.9,2.2,0.883,0.7,1.8,2.5,5.9,1.1,0.3,1.8,2.3,10.0,/players/r/ridnolu01.html,Luke Ridnour
2006,24.0,SEA,NBA,PG,79.0,77.0,33.2,4.2,10.1,0.418,0.5,1.9,0.289,3.7,8.2,0.44799999999999995,0.445,2.5,2.9,0.877,0.6,2.4,3.0,7.0,1.6,0.3,2.1,2.3,11.5,/players/r/ridnolu01.html,Luke Ridnour
2007,25.0,SEA,NBA,PG,71.0,58.0,29.5,4.2,9.8,0.433,0.7,2.0,0.353,3.5,7.8,0.45299999999999996,0.46799999999999997,1.8,2.2,0.805,0.4,1.9,2.3,5.2,1.2,0.3,2.2,2.5,11.0,/players/r/ridnolu01.html,Luke Ridnour
2008,26.0,SEA,NBA,PG,61.0,5.0,20.0,2.4,6.0,0.39899999999999997,0.3,1.2,0.29600000000000004,2.1,4.9,0.424,0.428,1.3,1.5,0.857,0.2,1.3,1.5,4.0,0.6,0.2,1.3,2.0,6.4,/players/r/ridnolu01.html,Luke Ridnour
2009,27.0,MIL,NBA,PG,72.0,50.0,28.2,3.5,8.6,0.40299999999999997,0.8,2.2,0.35,2.7,6.4,0.42,0.447,1.8,2.1,0.8690000000000001,0.5,2.6,3.0,5.1,1.3,0.2,1.8,2.8,9.6,/players/r/ridnolu01.html,Luke Ridnour
2010,28.0,MIL,NBA,PG,82.0,0.0,21.5,4.0,8.4,0.478,0.8,2.2,0.381,3.2,6.2,0.513,0.528,1.5,1.7,0.907,0.3,1.5,1.7,4.0,0.7,0.1,1.3,2.2,10.4,/players/r/ridnolu01.html,Luke Ridnour
2011,29.0,MIN,NBA,PG,71.0,66.0,30.4,4.5,9.6,0.46799999999999997,1.1,2.6,0.44,3.4,7.0,0.479,0.528,1.7,1.9,0.883,0.5,2.3,2.8,5.4,1.3,0.1,2.2,2.1,11.8,/players/r/ridnolu01.html,Luke Ridnour
2012,30.0,MIN,NBA,SG,53.0,53.0,33.0,4.6,10.4,0.44,0.9,2.9,0.322,3.6,7.5,0.485,0.485,2.0,2.2,0.8909999999999999,0.4,2.3,2.7,4.8,1.1,0.3,1.8,2.6,12.1,/players/r/ridnolu01.html,Luke Ridnour
2013,31.0,MIN,NBA,SG,82.0,82.0,30.2,4.5,9.9,0.45299999999999996,0.8,2.6,0.311,3.7,7.3,0.503,0.493,1.7,2.0,0.848,0.5,2.0,2.5,3.8,1.0,0.2,1.6,2.3,11.5,/players/r/ridnolu01.html,Luke Ridnour
2014,32.0,MIL,NBA,PG,36.0,12.0,21.2,2.3,6.1,0.384,0.7,1.9,0.368,1.6,4.2,0.391,0.441,0.4,0.5,0.684,0.4,1.3,1.7,3.4,0.6,0.1,1.3,1.5,5.7,/players/r/ridnolu01.html,Luke Ridnour
2014,32.0,CHA,NBA,PG,25.0,2.0,15.1,1.7,4.3,0.389,0.5,1.6,0.3,1.2,2.7,0.441,0.444,0.2,0.3,0.5710000000000001,0.3,1.1,1.4,2.2,0.4,0.2,0.8,1.5,4.0,/players/r/ridnolu01.html,Luke Ridnour
2015,33.0,ORL,NBA,PG,47.0,0.0,14.5,1.6,3.7,0.426,0.4,1.3,0.317,1.2,2.4,0.48700000000000004,0.483,0.4,0.4,0.857,0.2,1.3,1.4,2.0,0.4,0.1,0.8,1.4,4.0,/players/r/ridnolu01.html,Luke Ridnour
