datetime,spread,decimal_odds,vegas_odds,sportsbook,team_abbr,home_abbr,away_abbr,bet_type_id
2014-10-06 19:33:12-04:00,0,1.5,-200,5Dimes,BOS,BOS,PHI,1
2014-10-06 19:33:12-04:00,0,2.7,170,5Dimes,PHI,BOS,PHI,1
2014-10-06 14:36:41-04:00,0,1.5405405405405406,-185,Bet365,BOS,BOS,PHI,1
2014-10-06 14:36:41-04:00,0,2.65,165,Bet365,PHI,BOS,PHI,1
2014-10-06 14:34:32-04:00,0,1.5555555555555556,-180,Pinnacle,BOS,BOS,PHI,1
2014-10-06 14:34:32-04:00,0,2.62,162,Pinnacle,PHI,BOS,PHI,1
2014-10-06 14:34:50-04:00,0,1.5263157894736843,-190,Intertops,BOS,BOS,PHI,1
2014-10-06 14:34:50-04:00,0,2.65,165,Intertops,PHI,BOS,PHI,1
2014-10-08 18:29:28-04:00,0,1.847457627118644,-118,5Dimes,NYK,BOS,NYK,1
2014-10-08 18:29:28-04:00,0,1.9803921568627452,-102,5Dimes,BOS,BOS,NYK,1
2014-10-08 18:29:29-04:00,0,1.8695652173913044,-115,Bet365,NYK,BOS,NYK,1
2014-10-08 18:29:29-04:00,0,1.9523809523809523,-105,Bet365,BOS,BOS,NYK,1
2014-10-08 19:32:39-04:00,0,1.9090909090909092,-110,Pinnacle,NYK,BOS,NYK,1
2014-10-08 19:32:39-04:00,0,2.0,100,Pinnacle,BOS,BOS,NYK,1
2014-10-08 18:38:16-04:00,0,1.8333333333333333,-120,Sports Interaction,NYK,BOS,NYK,1
2014-10-08 18:38:16-04:00,0,2.0,100,Sports Interaction,BOS,BOS,NYK,1
2014-10-10 16:32:11-04:00,0,1.5714285714285714,-175,5Dimes,TOR,TOR,BOS,1
2014-10-10 16:32:11-04:00,0,2.55,155,5Dimes,BOS,TOR,BOS,1
2014-10-10 18:33:50-04:00,0,1.5555555555555556,-180,Bet365,TOR,TOR,BOS,1
2014-10-10 18:33:50-04:00,0,2.6,160,Bet365,BOS,TOR,BOS,1
2014-10-10 16:24:52-04:00,0,1.5649717514124293,-177,Pinnacle,TOR,TOR,BOS,1
2014-10-10 16:24:52-04:00,0,2.59,159,Pinnacle,BOS,TOR,BOS,1
2014-10-10 16:25:25-04:00,0,1.5714285714285714,-175,Intertops,TOR,TOR,BOS,1
2014-10-10 16:25:25-04:00,0,2.55,155,Intertops,BOS,TOR,BOS,1
2014-10-10 16:38:33-04:00,0,1.5405405405405406,-185,Sports Interaction,TOR,TOR,BOS,1
2014-10-10 16:38:33-04:00,0,2.55,155,Sports Interaction,BOS,TOR,BOS,1
2014-10-11 18:16:34-04:00,0,2.25,125,5Dimes,NYK,BOS,NYK,1
2014-10-11 18:16:34-04:00,0,1.6896551724137931,-145,5Dimes,BOS,BOS,NYK,1
2014-10-11 19:30:58-04:00,0,2.2,120,Bet365,NYK,BOS,NYK,1
2014-10-11 19:30:58-04:00,0,1.7142857142857142,-140,Bet365,BOS,BOS,NYK,1
2014-10-11 19:30:53-04:00,0,2.24,124,Pinnacle,NYK,BOS,NYK,1
2014-10-11 19:30:53-04:00,0,1.72992700729927,-137,Pinnacle,BOS,BOS,NYK,1
2014-10-11 18:19:59-04:00,0,2.25,125,Intertops,NYK,BOS,NYK,1
2014-10-11 18:19:59-04:00,0,1.6896551724137931,-145,Intertops,BOS,BOS,NYK,1
2014-10-11 18:17:41-04:00,0,2.25,125,Sports Interaction,NYK,BOS,NYK,1
2014-10-11 18:17:41-04:00,0,1.6896551724137931,-145,Sports Interaction,BOS,BOS,NYK,1
2014-10-15 11:21:32-04:00,0,1.7142857142857142,-140,5Dimes,TOR,BOS,TOR,1
2014-10-15 11:21:32-04:00,0,2.2,120,5Dimes,BOS,BOS,TOR,1
2014-10-15 11:17:47-04:00,0,1.7142857142857142,-140,Bet365,TOR,BOS,TOR,1
2014-10-15 11:17:47-04:00,0,2.2,120,Bet365,BOS,BOS,TOR,1
2014-10-15 16:45:17-04:00,0,1.7246376811594204,-138,Pinnacle,TOR,BOS,TOR,1
2014-10-15 16:45:17-04:00,0,2.25,125,Pinnacle,BOS,BOS,TOR,1
2014-10-15 11:18:03-04:00,0,1.7142857142857142,-140,Intertops,TOR,BOS,TOR,1
2014-10-15 11:18:03-04:00,0,2.2,120,Intertops,BOS,BOS,TOR,1
2014-10-15 11:28:44-04:00,0,1.7142857142857142,-140,Sports Interaction,TOR,BOS,TOR,1
2014-10-15 11:28:44-04:00,0,2.2,120,Sports Interaction,BOS,BOS,TOR,1
2014-10-16 18:46:10-04:00,0,2.05,105,5Dimes,BOS,PHI,BOS,1
2014-10-16 18:46:10-04:00,0,1.8,-125,5Dimes,PHI,PHI,BOS,1
2014-10-16 18:47:27-04:00,0,2.05,105,Bet365,BOS,PHI,BOS,1
2014-10-16 18:47:27-04:00,0,1.8,-125,Bet365,PHI,PHI,BOS,1
2014-10-16 18:44:01-04:00,0,2.07,107,Pinnacle,BOS,PHI,BOS,1
2014-10-16 18:44:01-04:00,0,1.847457627118644,-118,Pinnacle,PHI,PHI,BOS,1
2014-10-16 14:21:48-04:00,0,2.0,100,Intertops,BOS,PHI,BOS,1
2014-10-16 14:21:48-04:00,0,1.8333333333333333,-120,Intertops,PHI,PHI,BOS,1
2014-10-16 14:27:41-04:00,0,1.9523809523809523,-105,Sports Interaction,BOS,PHI,BOS,1
2014-10-16 14:27:41-04:00,0,1.8695652173913044,-115,Sports Interaction,PHI,PHI,BOS,1
2014-10-19 14:50:45-04:00,0,1.7692307692307692,-130,5Dimes,BRK,BRK,BOS,1
2014-10-19 14:50:45-04:00,0,2.1,110,5Dimes,BOS,BRK,BOS,1
2014-10-19 14:52:31-04:00,0,1.7692307692307692,-130,Bet365,BRK,BRK,BOS,1
2014-10-19 14:52:31-04:00,0,2.1,110,Bet365,BOS,BRK,BOS,1
2014-10-19 14:54:24-04:00,0,1.7936507936507937,-126,Pinnacle,BRK,BRK,BOS,1
2014-10-19 14:54:24-04:00,0,2.14,114,Pinnacle,BOS,BRK,BOS,1
2014-10-19 13:02:20-04:00,0,1.7407407407407407,-135,Intertops,BRK,BRK,BOS,1
2014-10-19 13:02:20-04:00,0,2.15,115,Intertops,BOS,BRK,BOS,1
2014-10-19 14:57:00-04:00,0,1.7692307692307692,-130,Sports Interaction,BRK,BRK,BOS,1
2014-10-19 14:57:00-04:00,0,2.1,110,Sports Interaction,BOS,BRK,BOS,1
2014-10-22 19:20:18-04:00,0,2.75,175,5Dimes,BRK,BOS,BRK,1
2014-10-22 19:20:18-04:00,0,1.4761904761904763,-210,5Dimes,BOS,BOS,BRK,1
2014-10-22 19:34:13-04:00,0,2.7,170,Bet365,BRK,BOS,BRK,1
2014-10-22 19:34:13-04:00,0,1.5,-200,Bet365,BOS,BOS,BRK,1
2014-10-22 19:32:48-04:00,0,2.78,178,Pinnacle,BRK,BOS,BRK,1
2014-10-22 19:32:48-04:00,0,1.505050505050505,-198,Pinnacle,BOS,BOS,BRK,1
2014-10-22 19:15:41-04:00,0,2.7,170,Intertops,BRK,BOS,BRK,1
2014-10-22 19:15:41-04:00,0,1.5,-200,Intertops,BOS,BOS,BRK,1
2014-10-07 18:53:41-04:00,0,1.3773584905660377,-265,5Dimes,MIA,MIA,ORL,1
2014-10-07 18:53:41-04:00,0,3.25,225,5Dimes,ORL,MIA,ORL,1
2014-10-07 14:05:25-04:00,0,1.3571428571428572,-280,Bet365,MIA,MIA,ORL,1
2014-10-07 14:05:25-04:00,0,3.3,230,Bet365,ORL,MIA,ORL,1
2014-10-07 16:51:08-04:00,0,1.386100386100386,-259,Pinnacle,MIA,MIA,ORL,1
2014-10-07 16:51:08-04:00,0,3.3,230,Pinnacle,ORL,MIA,ORL,1
2014-10-07 14:04:56-04:00,0,1.3636363636363635,-275,Intertops,MIA,MIA,ORL,1
2014-10-07 14:04:56-04:00,0,3.35,235,Intertops,ORL,MIA,ORL,1
2014-10-07 19:06:35-04:00,0,1.3636363636363635,-275,Sports Interaction,MIA,MIA,ORL,1
2014-10-07 19:06:35-04:00,0,3.25,225,Sports Interaction,ORL,MIA,ORL,1
2014-10-07 22:01:56-04:00,0,1.5714285714285714,-175,5Dimes,LAC,LAC,GSW,1
2014-10-07 22:01:56-04:00,0,2.55,155,5Dimes,GSW,LAC,GSW,1
2014-10-07 10:57:29-04:00,0,1.5555555555555556,-180,Bet365,LAC,LAC,GSW,1
2014-10-07 10:57:29-04:00,0,2.6,160,Bet365,GSW,LAC,GSW,1
2014-10-07 21:58:44-04:00,0,1.5780346820809248,-173,Pinnacle,LAC,LAC,GSW,1
2014-10-07 21:58:44-04:00,0,2.56,156,Pinnacle,GSW,LAC,GSW,1
2014-10-07 12:52:56-04:00,0,1.5555555555555556,-180,Intertops,LAC,LAC,GSW,1
2014-10-07 12:52:56-04:00,0,2.6,160,Intertops,GSW,LAC,GSW,1
2014-10-07 19:06:35-04:00,0,1.5405405405405406,-185,Sports Interaction,LAC,LAC,GSW,1
2014-10-07 19:06:35-04:00,0,2.55,155,Sports Interaction,GSW,LAC,GSW,1
2014-10-09 22:03:28-04:00,0,2.55,155,5Dimes,LAL,LAL,GSW,1
2014-10-09 22:03:28-04:00,0,1.5714285714285714,-175,5Dimes,GSW,LAL,GSW,1
2014-10-09 22:33:39-04:00,0,2.5,150,Bet365,LAL,LAL,GSW,1
2014-10-09 22:33:39-04:00,0,1.588235294117647,-170,Bet365,GSW,LAL,GSW,1
2014-10-09 22:33:30-04:00,0,2.5,150,Pinnacle,LAL,LAL,GSW,1
2014-10-09 22:33:30-04:00,0,1.6024096385542168,-166,Pinnacle,GSW,LAL,GSW,1
2014-10-09 22:02:42-04:00,0,2.55,155,Intertops,LAL,LAL,GSW,1
2014-10-09 22:02:42-04:00,0,1.5714285714285714,-175,Intertops,GSW,LAL,GSW,1
2014-10-09 22:07:50-04:00,0,2.5,150,Sports Interaction,LAL,LAL,GSW,1
2014-10-09 22:07:50-04:00,0,1.5714285714285714,-175,Sports Interaction,GSW,LAL,GSW,1
2014-10-11 16:16:53-04:00,0,3.05,205,5Dimes,MIA,MIA,CLE,1
2014-10-11 16:16:53-04:00,0,1.4081632653061225,-245,5Dimes,CLE,MIA,CLE,1
2014-10-11 16:17:09-04:00,0,3.1,210,Bet365,MIA,MIA,CLE,1
2014-10-11 16:17:09-04:00,0,1.4,-250,Bet365,CLE,MIA,CLE,1
2014-10-11 14:50:03-04:00,0,3.22,222,Pinnacle,MIA,MIA,CLE,1
2014-10-11 14:50:03-04:00,0,1.4,-250,Pinnacle,CLE,MIA,CLE,1
2014-10-11 14:50:59-04:00,0,3.1,210,Intertops,MIA,MIA,CLE,1
2014-10-11 14:50:59-04:00,0,1.4,-250,Intertops,CLE,MIA,CLE,1
2014-10-11 16:17:54-04:00,0,2.95,195,Sports Interaction,MIA,MIA,CLE,1
2014-10-11 16:17:54-04:00,0,1.4081632653061225,-245,Sports Interaction,CLE,MIA,CLE,1
2014-10-12 12:43:31-04:00,0,2.4,140,5Dimes,LAL,LAL,GSW,1
2014-10-12 12:43:31-04:00,0,1.625,-160,5Dimes,GSW,LAL,GSW,1
2014-10-12 12:34:33-04:00,0,2.4,140,Bet365,LAL,LAL,GSW,1
2014-10-12 12:34:33-04:00,0,1.625,-160,Bet365,GSW,LAL,GSW,1
2014-10-12 21:34:04-04:00,0,2.4,140,Pinnacle,LAL,LAL,GSW,1
2014-10-12 21:34:04-04:00,0,1.6451612903225807,-155,Pinnacle,GSW,LAL,GSW,1
2014-10-12 12:08:06-04:00,0,2.4,140,Intertops,LAL,LAL,GSW,1
2014-10-12 12:08:06-04:00,0,1.625,-160,Intertops,GSW,LAL,GSW,1
2014-10-12 12:47:20-04:00,0,2.35,135,Sports Interaction,LAL,LAL,GSW,1
2014-10-12 12:47:20-04:00,0,1.625,-160,Sports Interaction,GSW,LAL,GSW,1
2014-10-14 18:42:42-04:00,0,1.6666666666666667,-150,5Dimes,MIA,MIA,ATL,1
2014-10-14 18:42:42-04:00,0,2.3,130,5Dimes,ATL,MIA,ATL,1
2014-10-14 18:30:48-04:00,0,1.6451612903225807,-155,Bet365,MIA,MIA,ATL,1
2014-10-14 18:30:48-04:00,0,2.35,135,Bet365,ATL,MIA,ATL,1
2014-10-14 19:25:47-04:00,0,1.6711409395973154,-149,Pinnacle,MIA,MIA,ATL,1
2014-10-14 19:25:47-04:00,0,2.35,135,Pinnacle,ATL,MIA,ATL,1
2014-10-14 18:36:16-04:00,0,1.6666666666666667,-150,Intertops,MIA,MIA,ATL,1
2014-10-14 18:36:16-04:00,0,2.3,130,Intertops,ATL,MIA,ATL,1
2014-10-14 18:58:09-04:00,0,1.6666666666666667,-150,Sports Interaction,MIA,MIA,ATL,1
2014-10-14 18:58:09-04:00,0,2.3,130,Sports Interaction,ATL,MIA,ATL,1
2014-10-16 19:55:04-04:00,0,2.45,145,5Dimes,DEN,GSW,DEN,1
2014-10-16 19:55:04-04:00,0,1.606060606060606,-165,5Dimes,GSW,GSW,DEN,1
2014-10-16 19:00:25-04:00,0,2.45,145,Bet365,DEN,GSW,DEN,1
2014-10-16 19:00:25-04:00,0,1.606060606060606,-165,Bet365,GSW,GSW,DEN,1
2014-10-16 19:58:03-04:00,0,2.49,149,Pinnacle,DEN,GSW,DEN,1
2014-10-16 19:58:03-04:00,0,1.606060606060606,-165,Pinnacle,GSW,GSW,DEN,1
2014-10-16 18:34:13-04:00,0,2.5,150,Intertops,DEN,GSW,DEN,1
2014-10-16 18:34:13-04:00,0,1.588235294117647,-170,Intertops,GSW,GSW,DEN,1
2014-10-16 19:08:56-04:00,0,2.5,150,Sports Interaction,DEN,GSW,DEN,1
2014-10-16 19:08:56-04:00,0,1.5555555555555556,-180,Sports Interaction,GSW,GSW,DEN,1
2014-10-21 22:28:07-04:00,0,2.75,175,5Dimes,LAC,GSW,LAC,1
2014-10-21 22:28:07-04:00,0,1.4761904761904763,-210,5Dimes,GSW,GSW,LAC,1
2014-10-21 22:26:23-04:00,0,2.7,170,Bet365,LAC,GSW,LAC,1
2014-10-21 22:26:23-04:00,0,1.5,-200,Bet365,GSW,GSW,LAC,1
2014-10-21 22:39:56-04:00,0,2.7,170,Pinnacle,LAC,GSW,LAC,1
2014-10-21 22:39:56-04:00,0,1.529100529100529,-189,Pinnacle,GSW,GSW,LAC,1
2014-10-21 22:23:43-04:00,0,2.7,170,Intertops,LAC,GSW,LAC,1
2014-10-21 22:23:43-04:00,0,1.5,-200,Intertops,GSW,GSW,LAC,1
2014-10-21 22:18:11-04:00,0,2.8,180,Sports Interaction,LAC,GSW,LAC,1
2014-10-21 22:18:11-04:00,0,1.4545454545454546,-220,Sports Interaction,GSW,GSW,LAC,1
2014-10-05 14:46:51-04:00,0,2.55,155,5Dimes,SAC,TOR,SAC,1
2014-10-05 14:46:51-04:00,0,1.5714285714285714,-175,5Dimes,TOR,TOR,SAC,1
2014-10-05 16:01:12-04:00,0,2.55,155,Bet365,SAC,TOR,SAC,1
2014-10-05 16:01:12-04:00,0,1.5714285714285714,-175,Bet365,TOR,TOR,SAC,1
2014-10-05 18:56:23-04:00,0,2.53,153,Pinnacle,SAC,TOR,SAC,1
2014-10-05 18:56:23-04:00,0,1.588235294117647,-170,Pinnacle,TOR,TOR,SAC,1
2014-10-05 15:55:46-04:00,0,2.55,155,Intertops,SAC,TOR,SAC,1
2014-10-05 15:55:46-04:00,0,1.5714285714285714,-175,Intertops,TOR,TOR,SAC,1
2014-10-06 14:06:19-04:00,0,2.9,190,5Dimes,WAS,CHI,WAS,1
2014-10-06 14:06:19-04:00,0,1.434782608695652,-230,5Dimes,CHI,CHI,WAS,1
2014-10-06 14:06:38-04:00,0,2.9,190,Bet365,WAS,CHI,WAS,1
2014-10-06 14:06:38-04:00,0,1.434782608695652,-230,Bet365,CHI,CHI,WAS,1
2014-10-06 19:52:31-04:00,0,2.85,185,Pinnacle,WAS,CHI,WAS,1
2014-10-06 19:52:31-04:00,0,1.4854368932038835,-206,Pinnacle,CHI,CHI,WAS,1
2014-10-06 18:19:54-04:00,0,2.9,190,Intertops,WAS,CHI,WAS,1
2014-10-06 18:19:54-04:00,0,1.434782608695652,-230,Intertops,CHI,CHI,WAS,1
2014-10-07 18:53:46-04:00,0,1.7407407407407407,-135,5Dimes,DET,DET,CHI,1
2014-10-07 18:53:46-04:00,0,2.15,115,5Dimes,CHI,DET,CHI,1
2014-10-07 15:41:26-04:00,0,1.7142857142857142,-140,Bet365,DET,DET,CHI,1
2014-10-07 15:41:26-04:00,0,2.2,120,Bet365,CHI,DET,CHI,1
2014-10-07 18:55:28-04:00,0,1.8,-125,Pinnacle,DET,DET,CHI,1
2014-10-07 18:55:28-04:00,0,2.13,113,Pinnacle,CHI,DET,CHI,1
2014-10-07 17:57:56-04:00,0,1.7407407407407407,-135,Intertops,DET,DET,CHI,1
2014-10-07 17:57:56-04:00,0,2.15,115,Intertops,CHI,DET,CHI,1
2014-10-07 19:06:35-04:00,0,1.7407407407407407,-135,Sports Interaction,DET,DET,CHI,1
2014-10-07 19:06:35-04:00,0,2.15,115,Sports Interaction,CHI,DET,CHI,1
2014-10-07 20:44:46-04:00,0,2.45,145,5Dimes,UTA,UTA,POR,1
2014-10-07 20:44:46-04:00,0,1.606060606060606,-165,5Dimes,POR,UTA,POR,1
2014-10-07 20:45:48-04:00,0,2.45,145,Bet365,UTA,UTA,POR,1
2014-10-07 20:45:48-04:00,0,1.606060606060606,-165,Bet365,POR,UTA,POR,1
2014-10-07 20:44:39-04:00,0,2.44,144,Pinnacle,UTA,UTA,POR,1
2014-10-07 20:44:39-04:00,0,1.625,-160,Pinnacle,POR,UTA,POR,1
2014-10-07 20:45:56-04:00,0,2.4,140,Intertops,UTA,UTA,POR,1
2014-10-07 20:45:56-04:00,0,1.625,-160,Intertops,POR,UTA,POR,1
2014-10-07 20:48:11-04:00,0,2.4,140,Sports Interaction,UTA,UTA,POR,1
2014-10-07 20:48:11-04:00,0,1.606060606060606,-165,Sports Interaction,POR,UTA,POR,1
2014-10-07 12:51:26-04:00,0,1.78125,-128,5Dimes,SAC,SAC,TOR,1
2014-10-07 12:51:26-04:00,0,2.08,108,5Dimes,TOR,SAC,TOR,1
2014-10-07 20:52:52-04:00,0,1.8,-125,Bet365,SAC,SAC,TOR,1
2014-10-07 20:52:52-04:00,0,2.05,105,Bet365,TOR,SAC,TOR,1
2014-10-07 10:47:31-04:00,0,1.8264462809917354,-121,Pinnacle,SAC,SAC,TOR,1
2014-10-07 10:47:31-04:00,0,2.1,110,Pinnacle,TOR,SAC,TOR,1
2014-10-07 09:46:13-04:00,0,1.8,-125,Intertops,SAC,SAC,TOR,1
2014-10-07 09:46:13-04:00,0,2.05,105,Intertops,TOR,SAC,TOR,1
2014-10-07 19:06:35-04:00,0,1.7692307692307692,-130,Sports Interaction,SAC,SAC,TOR,1
2014-10-07 19:06:35-04:00,0,2.1,110,Sports Interaction,TOR,SAC,TOR,1
2014-10-08 18:56:27-04:00,0,1.588235294117647,-170,5Dimes,MEM,MIL,MEM,1
2014-10-08 18:56:27-04:00,0,2.5,150,5Dimes,MIL,MIL,MEM,1
2014-10-08 19:55:54-04:00,0,1.588235294117647,-170,Bet365,MEM,MIL,MEM,1
2014-10-08 19:55:54-04:00,0,2.5,150,Bet365,MIL,MIL,MEM,1
2014-10-08 20:03:47-04:00,0,1.606060606060606,-165,Pinnacle,MEM,MIL,MEM,1
2014-10-08 20:03:47-04:00,0,2.49,149,Pinnacle,MIL,MIL,MEM,1
2014-10-08 20:01:02-04:00,0,1.588235294117647,-170,Intertops,MEM,MIL,MEM,1
2014-10-08 20:01:02-04:00,0,2.5,150,Intertops,MIL,MIL,MEM,1
2014-10-08 18:58:10-04:00,0,1.588235294117647,-170,Sports Interaction,MEM,MIL,MEM,1
2014-10-08 18:58:10-04:00,0,2.45,145,Sports Interaction,MIL,MIL,MEM,1
2014-10-09 19:31:28-04:00,0,1.5405405405405406,-185,5Dimes,DET,DET,MIL,1
2014-10-09 19:31:28-04:00,0,2.6,160,5Dimes,MIL,DET,MIL,1
2014-10-09 19:30:19-04:00,0,1.5555555555555556,-180,Bet365,DET,DET,MIL,1
2014-10-09 19:30:19-04:00,0,2.6,160,Bet365,MIL,DET,MIL,1
2014-10-09 17:40:40-04:00,0,1.5555555555555556,-180,Pinnacle,DET,DET,MIL,1
2014-10-09 17:40:40-04:00,0,2.62,162,Pinnacle,MIL,DET,MIL,1
2014-10-09 17:15:47-04:00,0,1.5714285714285714,-175,Intertops,DET,DET,MIL,1
2014-10-09 17:15:47-04:00,0,2.55,155,Intertops,MIL,DET,MIL,1
2014-10-09 19:28:14-04:00,0,1.5555555555555556,-180,Sports Interaction,DET,DET,MIL,1
2014-10-09 19:28:14-04:00,0,2.5,150,Sports Interaction,MIL,DET,MIL,1
2014-10-09 19:59:28-04:00,0,1.625,-160,5Dimes,HOU,HOU,MEM,1
2014-10-09 19:59:28-04:00,0,2.4,140,5Dimes,MEM,HOU,MEM,1
2014-10-09 19:20:16-04:00,0,1.606060606060606,-165,Bet365,HOU,HOU,MEM,1
2014-10-09 19:20:16-04:00,0,2.45,145,Bet365,MEM,HOU,MEM,1
2014-10-09 19:59:30-04:00,0,1.6329113924050633,-158,Pinnacle,HOU,HOU,MEM,1
2014-10-09 19:59:30-04:00,0,2.43,143,Pinnacle,MEM,HOU,MEM,1
2014-10-09 19:59:48-04:00,0,1.625,-160,Intertops,HOU,HOU,MEM,1
2014-10-09 19:59:48-04:00,0,2.4,140,Intertops,MEM,HOU,MEM,1
2014-10-09 19:57:46-04:00,0,1.588235294117647,-170,Sports Interaction,HOU,HOU,MEM,1
2014-10-09 19:57:46-04:00,0,2.45,145,Sports Interaction,MEM,HOU,MEM,1
2014-10-09 21:53:34-04:00,0,2.85,185,5Dimes,UTA,POR,UTA,1
2014-10-09 21:53:34-04:00,0,1.4444444444444444,-225,5Dimes,POR,POR,UTA,1
2014-10-09 21:33:14-04:00,0,2.9,190,Bet365,UTA,POR,UTA,1
2014-10-09 21:33:14-04:00,0,1.434782608695652,-230,Bet365,POR,POR,UTA,1
2014-10-09 22:05:12-04:00,0,2.99,199,Pinnacle,UTA,POR,UTA,1
2014-10-09 22:05:12-04:00,0,1.4484304932735426,-223,Pinnacle,POR,POR,UTA,1
2014-10-09 21:55:45-04:00,0,2.95,195,Intertops,UTA,POR,UTA,1
2014-10-09 21:55:45-04:00,0,1.425531914893617,-235,Intertops,POR,POR,UTA,1
2014-10-09 21:56:25-04:00,0,2.85,185,Sports Interaction,UTA,POR,UTA,1
2014-10-09 21:56:25-04:00,0,1.4444444444444444,-225,Sports Interaction,POR,POR,UTA,1
2014-10-11 15:20:01-04:00,0,1.606060606060606,-165,5Dimes,MEM,MEM,ATL,1
2014-10-11 15:20:01-04:00,0,2.45,145,5Dimes,ATL,MEM,ATL,1
2014-10-11 15:15:14-04:00,0,1.606060606060606,-165,Bet365,MEM,MEM,ATL,1
2014-10-11 15:15:14-04:00,0,2.45,145,Bet365,ATL,MEM,ATL,1
2014-10-11 19:02:41-04:00,0,1.6097560975609757,-164,Pinnacle,MEM,MEM,ATL,1
2014-10-11 19:02:41-04:00,0,2.48,148,Pinnacle,ATL,MEM,ATL,1
2014-10-11 12:21:03-04:00,0,1.606060606060606,-165,Intertops,MEM,MEM,ATL,1
2014-10-11 12:21:03-04:00,0,2.45,145,Intertops,ATL,MEM,ATL,1
2014-10-11 15:28:16-04:00,0,1.588235294117647,-170,Sports Interaction,MEM,MEM,ATL,1
2014-10-11 15:28:16-04:00,0,2.45,145,Sports Interaction,ATL,MEM,ATL,1
2014-10-11 20:17:30-04:00,0,3.1,210,5Dimes,MIL,MIL,CHI,1
2014-10-11 20:17:30-04:00,0,1.4,-250,5Dimes,CHI,MIL,CHI,1
2014-10-11 20:04:02-04:00,0,3.1,210,Bet365,MIL,MIL,CHI,1
2014-10-11 20:04:02-04:00,0,1.4,-250,Bet365,CHI,MIL,CHI,1
2014-10-11 19:59:16-04:00,0,3.18,218,Pinnacle,MIL,MIL,CHI,1
2014-10-11 19:59:16-04:00,0,1.4081632653061225,-245,Pinnacle,CHI,MIL,CHI,1
2014-10-11 20:01:06-04:00,0,3.1,210,Intertops,MIL,MIL,CHI,1
2014-10-11 20:01:06-04:00,0,1.4,-250,Intertops,CHI,MIL,CHI,1
2014-10-11 20:35:59-04:00,0,3.0,200,Sports Interaction,MIL,MIL,CHI,1
2014-10-11 20:35:59-04:00,0,1.4,-250,Sports Interaction,CHI,MIL,CHI,1
2014-10-12 17:22:33-04:00,0,1.7407407407407407,-135,5Dimes,POR,POR,LAC,1
2014-10-12 17:22:33-04:00,0,2.15,115,5Dimes,LAC,POR,LAC,1
2014-10-12 14:25:58-04:00,0,1.7407407407407407,-135,Bet365,POR,POR,LAC,1
2014-10-12 14:25:58-04:00,0,2.15,115,Bet365,LAC,POR,LAC,1
2014-10-12 20:48:41-04:00,0,1.7692307692307692,-130,Pinnacle,POR,POR,LAC,1
2014-10-12 20:48:41-04:00,0,2.18,118,Pinnacle,LAC,POR,LAC,1
2014-10-12 13:58:03-04:00,0,1.7407407407407407,-135,Intertops,POR,POR,LAC,1
2014-10-12 13:58:03-04:00,0,2.15,115,Intertops,LAC,POR,LAC,1
2014-10-12 17:26:34-04:00,0,1.7407407407407407,-135,Sports Interaction,POR,POR,LAC,1
2014-10-12 17:26:34-04:00,0,2.15,115,Sports Interaction,LAC,POR,LAC,1
2014-10-13 19:56:37-04:00,0,2.65,165,5Dimes,DEN,CHI,DEN,1
2014-10-13 19:56:37-04:00,0,1.5263157894736843,-190,5Dimes,CHI,CHI,DEN,1
2014-10-13 19:56:39-04:00,0,2.67,167,Bet365,DEN,CHI,DEN,1
2014-10-13 19:56:39-04:00,0,1.5208333333333333,-192,Bet365,CHI,CHI,DEN,1
2014-10-13 19:11:57-04:00,0,2.72,172,Pinnacle,DEN,CHI,DEN,1
2014-10-13 19:11:57-04:00,0,1.5235602094240839,-191,Pinnacle,CHI,CHI,DEN,1
2014-10-13 20:02:06-04:00,0,2.65,165,Intertops,DEN,CHI,DEN,1
2014-10-13 20:02:06-04:00,0,1.5263157894736843,-190,Intertops,CHI,CHI,DEN,1
2014-10-13 19:57:23-04:00,0,2.65,165,Sports Interaction,DEN,CHI,DEN,1
2014-10-13 19:57:23-04:00,0,1.5128205128205128,-195,Sports Interaction,CHI,CHI,DEN,1
2014-10-13 20:54:00-04:00,0,2.3,130,5Dimes,UTA,UTA,LAC,1
2014-10-13 20:54:00-04:00,0,1.6666666666666667,-150,5Dimes,LAC,UTA,LAC,1
2014-10-13 21:02:38-04:00,0,2.3,130,Bet365,UTA,UTA,LAC,1
2014-10-13 21:02:38-04:00,0,1.6666666666666667,-150,Bet365,LAC,UTA,LAC,1
2014-10-13 21:03:18-04:00,0,2.29,129,Pinnacle,UTA,UTA,LAC,1
2014-10-13 21:03:42-04:00,0,1.6993006993006994,-143,Pinnacle,LAC,UTA,LAC,1
2014-10-13 20:58:11-04:00,0,2.3,130,Intertops,UTA,UTA,LAC,1
2014-10-13 20:58:11-04:00,0,1.6666666666666667,-150,Intertops,LAC,UTA,LAC,1
2014-10-13 20:56:38-04:00,0,2.3,130,Sports Interaction,UTA,UTA,LAC,1
2014-10-13 20:56:38-04:00,0,1.6666666666666667,-150,Sports Interaction,LAC,UTA,LAC,1
2014-10-14 18:46:59-04:00,0,3.3,230,5Dimes,MIL,CLE,MIL,1
2014-10-14 18:46:59-04:00,0,1.3703703703703705,-270,5Dimes,CLE,CLE,MIL,1
2014-10-14 18:45:46-04:00,0,3.2,220,Bet365,MIL,CLE,MIL,1
2014-10-14 18:45:46-04:00,0,1.3703703703703705,-270,Bet365,CLE,CLE,MIL,1
